32,32,30,37,63,86,72,37
33,33,30,31,47,73,78,53
33,33,32,30,37,57,73,64
33,33,33,31,32,45,63,66
32,33,33,31,31,38,53,61
32,33,33,32,31,35,45,55
32,32,33,33,33,35,42,49

33,34,35,35,38,50,67,75
33,34,36,39,43,47,51,55
34,35,37,41,44,45,45,47
35,36,38,41,43,43,43,45
35,37,38,41,42,41,42,43
35,37,38,39,40,40,40,42
35,36,37,38,38,38,39,42
35,36,37,37,37,38,40,42

33,32,31,30,35,54,86,114
32,30,30,35,48,68,97,122
33,32,35,44,60,82,108,127
34,35,41,53,72,95,117,127
35,39,49,65,86,108,125,127
36,44,58,78,99,118,127,127
39,52,70,91,111,125,127,127
46,62,81,101,116,126,127,127

32,34,34,30,32,58,91,105
33,34,34,30,35,64,94,105
33,35,34,30,38,68,97,106
34,35,34,29,40,73,99,107
34,35,32,29,43,76,101,108
34,35,31,29,47,79,102,108
34,34,31,31,51,81,101,107
34,34,33,36,55,81,98,104

33,35,32,26,41,74,99,105
34,33,29,37,64,93,105,106
33,31,34,54,83,102,107,105
32,33,45,72,95,105,107,105
32,39,60,86,101,106,107,104
35,50,74,93,103,106,106,103
41,62,83,97,103,105,104,102
51,71,87,96,100,101,101,99

31,32,32,24,26,55,90,100
32,32,30,25,32,60,87,93
32,32,31,31,40,60,78,83
33,33,34,37,45,56,65,68
33,34,35,39,44,48,52,55
33,34,36,38,41,41,42,45
33,34,35,36,37,37,37,40
34,34,34,34,34,34,35,37

32,31,32,29,26,38,73,102
31,31,31,30,27,30,55,86
32,31,31,31,29,27,41,68
32,31,31,31,30,28,33,52
32,31,31,31,31,29,30,42
32,31,30,31,31,30,30,37
31,31,31,31,31,30,30,35
31,31,31,31,31,31,31,35

27,24,33,33,32,33,33,33
26,30,34,33,33,33,34,33
30,35,34,33,34,33,33,33
31,35,34,33,33,33,33,33
30,33,34,34,33,33,33,33
30,32,33,33,33,33,32,32
30,32,33,33,33,33,33,32
31,32,32,33,33,33,33,33

58,40,39,39,38,36,35,34
53,42,39,37,37,35,33,32
34,34,33,32,31,30,28,27
27,30,29,27,26,24,23,23
29,29,28,26,24,23,22,22
31,29,28,26,25,24,23,23
30,28,27,26,25,25,25,25
28,27,25,24,23,23,25,25

42,16,25,31,30,30,31,32
31,11,24,30,30,29,30,31
8,5,23,31,30,29,30,30
0,0,21,30,29,29,30,30
1,0,17,27,28,29,29,29
6,0,14,24,27,29,28,28
7,0,12,22,26,28,28,28
10,3,12,21,25,27,28,28

43,19,29,33,31,31,32,33
33,23,30,31,30,31,32,33
25,30,32,30,30,32,32,33
30,35,32,30,31,32,32,33
35,34,31,31,32,32,33,33
34,33,31,32,32,33,33,34
33,34,34,33,33,34,34,34
34,35,35,34,35,34,34,35

67,43,35,32,29,29,31,33
74,60,46,34,28,27,29,32
45,50,45,36,29,27,28,30
29,34,36,33,30,27,27,28
31,31,32,32,31,30,28,29
34,33,34,34,34,33,31,31
33,35,36,36,36,35,34,32
33,35,36,36,37,36,35,34

55,29,28,32,32,31,31,32
68,43,29,29,31,30,30,31
60,56,38,30,30,30,30,30
43,55,46,35,31,30,30,30
34,45,48,40,34,31,31,30
34,38,44,43,38,33,31,30
35,37,41,43,40,36,33,31
33,36,39,41,41,37,35,33

44,36,30,31,32,31,31,32
43,28,28,30,30,30,30,31
37,22,28,30,30,30,30,31
34,25,29,30,30,31,31,32
35,33,30,30,31,31,31,32
36,36,31,30,31,31,32,32
34,34,32,31,31,32,32,33
33,33,32,32,32,32,33,33

44,51,48,46,45,45,44,44
70,72,70,68,66,65,62,59
87,84,83,82,81,79,76,70
73,73,75,76,77,77,74,68
44,49,53,56,58,59,58,56
28,31,34,37,38,39,41,43
28,30,32,33,34,35,36,39
39,41,43,44,45,45,44,44

34,38,34,32,33,33,32,32
52,41,34,32,33,34,33,33
79,50,34,31,33,34,34,34
76,55,37,32,33,34,34,34
48,48,40,35,34,33,34,35
30,41,41,37,35,34,34,35
34,41,40,37,35,34,35,35
40,42,40,37,36,35,35,35

47,47,31,28,31,32,32,32
74,46,26,27,31,32,33,32
72,31,24,31,33,33,33,32
39,24,29,33,33,33,32,31
23,29,35,35,33,32,31,31
28,34,35,34,32,31,31,31
34,35,33,32,31,30,30,30
34,34,32,31,30,30,30,30

33,39,39,38,37,36,35,33
54,50,48,46,43,39,35,33
84,70,61,55,48,43,38,36
75,68,61,54,48,44,41,37
42,44,43,40,38,37,37,35
25,25,25,25,26,27,28,30
26,20,17,17,18,20,22,26
29,23,20,18,19,20,22,24

32,36,34,32,32,32,33,32
39,34,34,33,32,33,32,32
61,38,33,33,32,33,33,32
77,54,39,34,32,32,32,32
68,70,52,39,34,32,31,32
44,66,62,48,38,34,32,32
31,49,60,54,44,37,34,33
34,38,50,53,48,41,36,34

33,35,34,32,31,32,32,32
38,38,33,31,31,32,32,32
43,37,31,30,31,31,31,32
43,31,30,31,31,31,31,31
40,24,29,32,31,31,31,31
38,26,30,32,31,30,30,30
39,34,32,31,31,30,29,29
37,38,34,32,31,31,30,30

31,30,32,33,33,33,33,34
30,31,32,34,34,35,37,38
37,41,40,40,41,43,45,46
62,62,59,58,58,60,61,60
89,86,83,82,82,82,80,74
90,92,91,91,91,90,85,75
54,58,58,58,58,57,53,47
2,1,0,0,0,1,2,3

32,32,33,33,32,32,33,32
29,33,33,33,32,32,32,33
27,32,34,33,32,32,33,33
46,35,33,32,32,32,33,33
79,47,33,31,32,33,34,34
80,52,35,32,32,33,33,33
44,41,36,33,33,33,33,33
16,26,32,33,33,33,32,32

29,34,40,36,31,30,29,30
30,47,46,33,28,27,27,29
51,60,41,27,25,26,28,30
79,53,27,22,25,27,29,31
72,32,18,22,27,30,31,32
39,18,20,26,30,31,32,32
20,18,25,30,32,33,33,33
20,24,30,32,32,33,32,33

34,33,34,34,35,35,35,36
32,36,37,39,40,41,41,41
32,40,45,48,50,51,50,48
58,59,62,64,65,63,60,56
88,84,83,82,81,78,72,66
85,88,90,90,88,85,80,72
54,68,76,79,78,77,74,68
31,45,54,59,60,61,60,59

32,32,32,33,33,33,32,32
31,33,32,32,33,33,32,33
29,32,33,33,33,33,32,33
35,29,31,33,33,33,33,33
58,33,29,31,33,32,33,33
81,52,34,30,32,32,33,33
71,70,48,35,32,32,33,33
36,62,57,43,36,34,33,34

35,36,36,36,36,36,35,35
36,38,39,38,38,37,37,37
38,40,40,39,38,38,38,38
41,43,40,39,39,39,39,39
44,44,39,39,39,39,39,39
47,40,38,38,39,40,41,41
49,35,37,39,40,40,41,42
54,36,37,39,40,40,41,42

32,31,31,32,32,32,32,33
31,30,30,30,30,30,31,33
30,29,29,30,29,29,30,32
28,28,28,29,29,28,30,34
30,30,30,30,30,31,33,40
45,43,43,43,42,44,48,55
82,79,79,79,79,80,84,88
123,125,126,127,127,127,127,127

32,32,32,32,32,32,31,32
32,32,32,32,32,32,31,31
32,32,32,32,32,31,31,31
28,32,33,32,32,31,30,31
25,31,33,32,31,30,30,30
40,35,33,32,31,30,30,31
75,50,36,32,31,30,31,32
97,66,43,35,32,31,32,33

31,32,34,37,38,37,36,35
31,33,40,44,42,40,37,36
30,39,50,50,44,40,37,35
33,55,61,52,43,38,36,35
54,73,64,49,40,36,35,34
82,80,59,44,37,35,34,34
92,73,52,40,36,34,33,34
86,64,47,39,36,34,34,34

31,31,31,32,32,31,32,33
31,30,30,30,30,30,31,32
32,30,29,29,28,29,31,33
29,29,29,28,29,30,33,36
30,31,31,31,31,33,36,40
48,44,41,40,40,41,43,47
79,68,62,59,58,58,58,59
98,88,82,78,76,74,73,71

32,32,32,32,32,32,32,32
31,31,32,32,32,32,31,31
32,31,32,32,31,31,31,31
30,32,32,32,31,31,31,31
28,31,32,32,31,32,31,31
31,28,31,32,32,32,32,32
54,33,30,31,32,32,32,32
87,52,36,33,32,32,32,33
